English,Portuguese
possible,possível
least,ao menos
parent,pai
consider,considerar
effect,efeito
rather,em vez
control,ao controle
view,visualizar
story,história
local,local
anything,nada
together,juntos
value,valor
hard,Difícil
stand,ficar de pé
visit,Visita
watch,ver
color,cor
party,Festa
continue,Prosseguir
bit,mordeu
ever,sempre
eye,olho
base,base
concern,preocupação
letter,carta
center,Centro
lose,perder
yet,ainda
almost,quase
development,desenvolvimento
already,já
test,teste
probably,provavelmente
sale,oferta
suggest,sugerir
nothing,nenhuma coisa
whole,todo
care,Cuidado
deal,lidar
language,língua
send,mandar
fall,outono
expect,esperar
return,Retorna
water,agua
allow,permitir
per,por
cause,causa
power,potência
sit,sentar
walk,andar
mother,mãe
subject,sujeito
develop,desenvolve
stay,fique
record,registro
mind,mente
remember,lembrar
past,passado
office,escritório
force,força
grow,crescer
town,Cidade
light,leve
stop,Pare
several,de várias
period,período
class,classe
matter,importam
food,Comida
social,social
require,exigir
political,político
win,ganhar
decide,decidir
staff,funcionários
figure,figura
real,real
future,futuro
policy,política
answer,responder
laugh,riso
among,dentre
remain,permanecer
ago,atrás
type,modelo
shop,fazer compras
security,segurança
receive,receber
minute,minuto
note,Nota
fund,fundo
top,principal
game,jogos
involve,envolver
account,conta
half,metade
history,história
create,crio
break,pausa
moment,momento
individual,Individual
across,através
either,qualquer
music,música
further,avançar
yeah,sim
reach,alcançar
clear,Claro
rule,regra
computer,computador
wait,esperar
sound,som
team,equipe
along,ao longo
research,pesquisa
appear,aparecer
drive,dirigir
activity,atividade
black,Preto
produce,produzir
free,gratuitamente
general,em geral
body,corpo
please,por favor
toward,em direção a
sense,senso
perhaps,possivelmente
everything,tudo
add,adicionar
law,lei
sell,vender
easy,fácil
full,completo
film,filme
model,modelo
war,guerra
forward,frente
himself,ele mesmo
maybe,pode ser
morning,manhã
design,Projeto
pass,passar
condition,doença
near,perto
door,porta
human,humano
above,acima
available,acessível
position,posição
agree,aceita
short,baixo
situation,situação
paper,papel
cover,cobrir
major,maior
customer,cliente
father,pai
choose,escolher
bear,Urso
someone,alguém
describe,descrever
main,a Principal
date,encontro
event,evento
nice,legais
special,especial
certain,certo
phone,telefone
join,Junte
else,senão
girl,menina
sometimes,às vezes
table,tabela
community,comunidade
carry,carregar
decision,decisão
president,Presidente
role,Função
particular,especial
cut,cortar
difference,diferença
die,morrer
eat,comer
enjoy,desfrutar
rise,ascender
especially,especialmente
detail,detalhe
data,dados
charge,cobrar
practice,prática
cell,célula
improve,melhorar
kid,criança
action,açao
strong,Forte
happy,feliz
health,saúde
economic,econômico
difficult,difícil
regard,que diz respeito
travel,viajar por
approach,aproximação
amount,montante
investment,investimento
draw,desenhar
white,Branco
site,local
round,arredondar
behind,atrás
claim,afirmação
step,degrau
patient,paciente
true,verdadeiro
teacher,professor
range,alcance
percent,por cento
themselves,si mesmos
organization,organização
vote,voto
front,frente
measure,a medida
trade,troca
therefore,portanto
finally,finalmente
raise,levantar
wear,vestem
industry,indústria
explain,explique
relationship,relação
quality,qualidade
accord,acordo
outside,lado de fora
wish,desejar
death,morte
project,projeto
land,terra
sign,sinal
boy,Garoto
news,notícias
risk,risco
total,total
couple,casal
national,nacional
list,Lista
opportunity,oportunidade
act,agir
sport,esporte
road,estrada
kill,matar
serve,servir
education,Educação
picture,foto
likely,provável
benefit,beneficiar
standard,padrão
stage,estágio
performance,atuação
rest,descanso
certainly,certamente
culture,cultura
focus,foco
arrive,chegar
itself,em si
employee,funcionário
upon,sobre
voice,voz
due,vencimento
technology,tecnologia
field,campo
air,ar
material,material
current,atual
teach,Ensinar
financial,financeiro
century,século
society,sociedade
analysis,análise
limit,limite
evidence,Evidência
reduce,reduzir
listen,ouço
usually,geralmente
lie,mentira
foot,pé
single,solteiro
common,comum
space,espaço
realize,entender
former,antigo
animal,animal
instead,em vez de
similar,semelhante
thus,portanto
address,Morada
leader,líder
complete,completo
arm,braço
function,função
factor,fator
chance,chance
mention,menção
contact,contato
exist,existir
response,resposta
demand,exigem
accept,aceitar
save,Salve 
opinion,opinião
pick,escolher
wrong,errado
apply,Aplique
compare,comparar
suppose,Suponha que
choice,escolha
structure,estrutura
fight,lutar
relate,relacionar-se
feature,característica
firm,empresa
ground,chão
effort,esforço
source,fonte
pretty,bonito
check,Verifica
okay,OK
campaign,campanha
street,rua
foreign,esqueceram
attention,atenção
personal,pessoal
park,Parque
particularly,particularmente
knowledge,conhecimento
contain,conter
official,oficial
court,quadra
bank,Banco
wife,esposa
article,artigo
management,gestão
manager,Gerente
section,seção
guy,cara
finish,Finalizar
fine,multar
store,loja
attack,ataque
stock,estoque
discuss,discutir
prepare,preparar
fire,fogo
piece,peça
heart,coração
forget,esquecer
police,polícia
recent,recente
behavior,comportamento
represent,representar
growth,crescimento
page,página
holiday,feriado
affect,afetar
establish,estabelecer
wonder,maravilha
poor,pobre
manage,gerir
addition,Adição
bed,cama
simply,simplesmente
recently,recentemente
yesterday,ontem
sorry,Desculpe
surprise,surpresa
art,arte
method,método
fast,velozes
purchase,comprar
stuff,coisa
international,internacional
drink,bebida
myself,Eu mesmo
worry,preocupar
whatever,qualquer que seja
private,privado
determine,determinar
summer,verão
evening,tarde
influence,influência
exactly,exatamente
average,média
everyone,todo o mundo
drop,derrubar
miss,perder
significant,significativo
production,Produção
inside,dentro
tomorrow,amanhã
region,região
attempt,tentar
cent,cent.
shall,devem
contract,contrato
smile,sorriso
skill,habilidade
medium,médio
necessary,necessário
economy,economia
various,vários
notice,perceber
key,chave
nature,natureza
population,população
nation,nação
hit,bater
occur,ocorrer
plant,plantar
election,eleição
catch,pegar
director,diretor
review,Reveja
military,militares
statement,declaração
worker,trabalhador
respect,respeito
paint,pintar
player,jogador
capital,capital
press,pressione
movie,filme
tax,imposto
environment,ambiente
son,filho
hotel,hotel
size,Tamanho
item,item
image,imagem
drug,medicamento
simple,simples
indeed,na verdade
series,Series
window,janela
final,final
purpose,propósito
treatment,tratamento
club,clube
file,Arquivo
department,departamento
bus,ônibus
wall,parede
direct,direto
character,personagem
race,raça
gain,ganho
fit,em forma
enter,entrar
agreement,acordo
fail,falhou
season,temporada
college,escola Superior
seek,procurar
achieve,alcançar
beautiful,lindo
station,estação
alone,sozinho
below,abaixo
clothes,roupas
attend,participar
argue,argumentar
success,sucesso
lack,falta
comment,Comente
option,opção
herself,ela própria
pull,puxar
church,Igreja
advantage,vantagem
identify,identificar
link,link
indicate,indicar
aim,mirar
income,renda
specific,específico
floor,piso
discussion,discussão
associate,associado
recognize,reconhecer
tree,árvore
unit,unidade
loss,perda
mark,marca
challenge,desafio
depend,depender
wide,Largo
anyway,de qualquer forma
mile,milha
solution,solução
board,borda
clearly,claramente
anyone,qualquer um
machine,máquina
marry,casar
relation,relação
theory,teoria
despite,Apesar de
introduce,introduzir
prove,provar
ability,habilidade
popular,popular
modern,moderno
doctor,médico
release,lançamento
score,pontuação
access,Acesso
television,televisão
ready,pronto
strike,greve
target,alvo
card,cartão
potential,potencial
organize,organizar
pattern,padronizar
clock,relógio
village,Vila
nearly,por pouco
movement,movimento
propose,propor
guess,acho
fear,medo
operation,Operação
trip,viagem
hair,cabelo
supply,fornecem
quickly,rapidamente
application,aplicativo
sleep,dorme
network,rede
strategy,estratégia
interview,entrevista
hospital,hospital
red,vermelho
husband,esposo
degree,grau
star,Estrela
generally,geralmente
restaurant,restaurante
yourself,você mesma
author,autor
pressure,pressão
task,tarefa
express,expressar
competition,concorrência
serious,sério
reference,referência
treat,tratar
conclusion,conclusão
brother,irmão
natural,natural
everybody,todo o mundo
touch,toque
beyond,além
define,definir
basis,base
trouble,dificuldade
deep,profundo
dark,Sombrio
energy,energia
fish,peixe
sing,cantar
sample,amostra
refer,referir
adult,adulto
positive,positivo
except,exceto
promise,promessa
disease,doença
dress,vestir
throw,lançar
worth,valor
clean,limpar
fill,encher
somebody,alguém
property,propriedade
operate,operar
profit,lucro
goal,meta
bar,bar
advance,avançar
quarter,trimestre
central,central
cold,resfriado
object,objeto
style,estilo
obviously,obviamente
push,Empurre
tend,tratar
assume,presumir
normal,normal
suffer,Sofra
exchange,troca
middle,meio
blue,azul
match,Combine
officer,Policial
avoid,evitar
reflect,refletir
useful,útil
fun,Diversão
huge,imenso
instance,instância
seat,assento
document,documento
oil,óleo
message,mensagem
net,internet
argument,argumento
successful,bem sucedido
box,caixa
resource,recurso
pound,libra
facility,instalação
throughout,por todo
bill,conta
debate,debate
speech,discurso
separate,separado
baby,bebê
male,macho
prefer,preferir
earn,ganhar
maintain,manter
hot,quente
career,carreira
doubt,dúvida
exercise,exercício
previous,anterior
daily,Diário
search,procurar
suddenly,De repente
fly,mosca
basic,Básico
ring,anel
dog,cão
asset,ativo
science,Ciência
perform,executar
balance,Saldo
song,música
weekend,final de semana
dead,morto
encourage,incentivar
protect,proteger
damage,dano
imagine,Imagine
afternoon,tarde
estimate,estimativa
photo,foto
context,contexto
credit,crédito
newspaper,jornal
daughter,filha
version,versão
variety,variedade
extend,ampliar
proposal,proposta
professional,profissional
sister,irmã
dollar,dólar
memory,memória
mine,minha
ahead,à frente
nor,nem
request,solicitar
post,publicar
original,original
female,fêmea
green,verde
dance,dança
dream,Sonhe
observe,observar
inform,informar
communication,comunicação
discover,descobrir
garden,Jardim
track,acompanhar
screen,tela
agency,agência
possibility,possibilidade
examine,examinar
legal,jurídico
university,universidade
recommend,recomendo
text,texto
direction,direção
responsibility,responsabilidade
conversation,conversação
magazine,revista
easily,facilmente
favorite,favorito
rock,Rocha
independent,independente
additional,adicional
agent,agente
complex,complexo
appropriate,apropriado
invite,convidar
traditional,tradicional
cross,Cruz
sea,mar
reply,responder
famous,famoso
software,Programas
weight,peso
shape,forma
completely,completamente
trial,julgamento
shoot,atirar
weather,clima
administration,administração
fix,consertar
judge,juiz
absolutely,absolutamente
user,do utilizador
element,elemento
welcome,bem vinda
announce,anunciar
glass,vidro
stick,bastão
requirement,requerimento
difficulty,dificuldade
laughter,risada
effective,eficaz
survey,pesquisa
invest,investir
majority,maioria
primary,primário
generation,geração
federal,Federal
wind,vento
replace,substituir
writer,escritor
stress,estresse
committee,Comitê.
principle,princípio
content,contente
unless,a menos que
immediately,imediatamente
percentage,percentagem
equipment,equipamento
telephone,Telefone
title,título
budget,despesas
transfer,transferir
blood,sangue
scene,cena
conduct,conduta
chair,cadeira
sector,setor
expensive,caro
executive,executivo
beat,bater
wonderful,Maravilhoso
warm,esquentar
copy,cópia de
none,Nenhum
negative,negativo
annual,anual
prevent,evita
rich,rico
block,quadra
payment,Forma de pagamento
collection,coleção
advice,adendo
politics,política
remove,remover
ensure,garantir
medical,médico
hang,aguentar
relative,relativo
directly,diretamente
count,contar
transport,transporte
safe,seguro
email,o email
mix,misturar
display,exibição
ride,andar de
flow,fluxo
highly,altamente
flat,plano
leg,perna
procedure,procedimento
contrast,contraste
straight,em linha reta
correct,correto
connection,conexão
institution,instituição
admit,Admitem
consumer,consumidor
video,vídeo
reveal,revelar
radio,rádio
otherwise,de outra forma
nobody,ninguém
aware,consciente
appeal,apelo
alternative,alternativo
status,status
award,prêmio
surface,superfície
heavy,pesado
handle,lidar com
cry,choro
sex,sexo
introduction,introdução
deliver,entregar
tour,Tour
pair,par
collect,coletar
extra,extra
intend,pretende
reader,leitor
cheap,barato
decade,década
sentence,frase
farm,Fazenda
overall,geral
moreover,além disso
expression,expressão
concert,show
dinner,jantar
print,imprimir
responsible,responsável
decline,declínio
grant,conceder
physical,físico
trust,Confiar em
ship,enviar
speed,Rapidez
south,Sul
truth,verdade
select,Selecione.
category,categoria
fair,feira
attitude,atitude
peace,Paz
band,banda
lay,deitar
importance,importância
perfect,perfeito
launch,lançar
wave,aceno
presence,presença
crime,crime
horse,cavalo
advertise,anunciar
progress,progresso
global,global
chief,chefe
slightly,levemente
scale,régua
double,Duplo
nuclear,nuclear
warn,avisar
extent,extensão
library,biblioteca
labor,trabalho
respond,responder
edge,Beira
partner,parceiro
experiment,experimentar
pain,dor
satisfy,satisfazer
taxi,Táxi
slow,lento
suit,Traje
spot,local
regular,regular
excite,excitar
concept,conceito
guide,guia
initial,inicial
speaker,alto falante
dry,seco
secretary,secretário
shake,sacudir
photograph,fotografia
scheme,esquema
technique,técnica
tonight,esta noite
apart,separado
rain,chuva
suggestion,sugestão
cool,legal
distance,distância
defense,defesa
north,norte
conflict,conflito
lift,lift
river,Rio
excellent,excelente
expert,especialista
favor,Favor
funny,engraçado
eventually,eventualmente
heat,calor
mistake,erro
dear,querido
improvement,melhoria
chapter,capítulo
emerge,emergir
football,futebol americano
demonstrate,demonstrar
artist,artista
reform,reforma
adopt,adotar
corner,canto
audience,público
decrease,diminuir
struggle,luta
roll,rolar
island,ilha
feed,alimentar
camp,acampamento
surround,surround.
investor,investidor
fully,totalmente
fee,taxa
crowd,multidão
senior,Senior
arrange,arranjo
expense,despesa
cook,cozinheiro
combine,combinar
cultural,cultural
map,mapa
meal,refeição
weapon,arma
contribution,contribuição
shift,mudança
ball,bola
cash,dinheiro
entire,inteira
reality,realidade
lesson,lição
solve,resolver
kitchen,cozinha
failure,fracasso
circumstance,circunstância
confirm,confirme
mouth,boca
busy,ocupado
contribute,contribuir
tool,ferramenta
objective,objetivo
gas,gás
lady,Senhora
quick,rápido
currently,Atualmente
spread,propagação
driver,motorista
glad,Alegre
beach,de praia
commercial,comercial
basically,basicamente
pop,pop.
variable,variável
brain,cérebro
cancer,Câncer
reaction,reação
proceed,Continuar
neither,nenhum
crisis,crise
hide,ocultar
refuse,recusar
consequence,consequência
volume,volume
bag,saco
trend,tendência
traffic,tráfego
mass,massa
left,deixou
owner,proprietário
length,comprimento
vary,variar
revenue,receita
duty,dever
repeat,repita
mountain,montanha
unfortunately,Infelizmente
survive,sobreviver
bedroom,quarto
schedule,cronograma
marriage,casado
employ,empregar
smoke,fumaça
essential,essencial
ticket,bilhete
critical,crítico
fan,ventilador
flight,voo
relatively,relativamente
equal,igual
egg,ovo
bottom,fundo
somewhere,algum lugar
plus,mais
novel,novela
coach,treinador
pleasure,prazer
promote,promover
background,fundo
union,União
neighbor,vizinho
provision,Provisão
appreciate,apreciar
plane,avião
topic,tópico
code,código
secret,segredo
enable,habilitar
package,pacote
manufacture,Fabrico
shareholder,acionista
investigation,investigação
attract,atrai
bird,pássaro
path,caminho
swim,nadar
afraid,com medo
bond,ligação
environmental,de Meio Ambiente
finger,dedo
anybody,qualquer pessoa
flower,Flor
colleague,colega
insurance,seguro
consideration,consideração
settle,resolver
powerful,poderoso
quiet,tranquilo
burn,queimar
engineer,engenheiro
component,componente
waste,desperdício
aid,ajuda
earth,terra
extremely,extremamente
desire,desejo
tire,pneu
apparently,aparentemente
breath,respiração
strength,força
delay,atraso
connect,conectar
nurse,enfermeira
brief,apresentação
sum,soma
soldier,soldado
hardly,dificilmente
lunch,almoço
strange,estranho
religious,religioso
battle,batalha
whereas,enquanto
construction,construção
engage,envolver
district,distrito
hate,ódio
boat,barco
stone,pedra
gather,reunir
advertisement,propaganda
tourist,turista
divide,dividir
expand,expandir
delivery,Entrega
historical,histórico
tradition,tradição
museum,museu
mostly,majoritariamente
host,hospedeiro
shoulder,ombro
broad,Largo
council,conselho
commit,comprometer-se
spring,mola
troop,tropa
jump,pular
healthy,saudável
fresh,fresco
conclude,concluir
furthermore,além do mais
finance,finança
threat,ameaça
studio,estúdio
safety,segurança
bomb,bombear
active,ativo
winter,inverno
export,exportar
acquire,adquirir
blow,golpe
sun,sol
obvious,óbvio
coffee,café
bind,vincular
visitor,Visitante
generate,gerar
tape,fita
cycle,ciclo
assess,avaliar
editor,editor
spirit,espírito
scientist,cientista
tear,rasgar
monitor,monitor
location,localização
actual,real
actor,ator
twice,duas vezes
corporate,corporativo
minister,ministro
murder,assassinato
comfortable,confortável
hurt,ferido
pool,piscina
assessment,avaliação
wash,lavagem
register,registro
regulation,regulamento
temperature,temperatura
violence,violência
route,rota
impossible,impossível
recall,lembrar
army,Exército
sight,visão
error,erro
accident,acidente
usual,usual
tough,difícil
opposite,oposto
wine,vinho
relax,relaxar
noise,ruído
carefully,com cuidado
characteristic,característica
possibly,possivelmente
camera,Câmera
shock,choque
convince,convencer
arrangement,arranjo
oppose,opor
climb,escalar
slowly,devagar
relevant,relevante
consist,consiste
principal,diretor
lawyer,advogado
manner,maneiras
gun,arma de fogo
onto,para
locate,localizar
domestic,doméstico
pack,pacote
protein,proteína
kiss,beijo
branch,ramo
voter,eleitor
vehicle,veículo
civil,Civil
literature,literatura
mainly,principalmente
theater,Teatro
stare,olhar fixamente
totally,totalmente
freedom,liberdade
quote,citar
industrial,industrial
significantly,significativamente
guest,hóspede
commitment,comprometimento
capacity,capacidade
description,Descrição
skin,pele
taste,gosto
perspective,perspectiva
belong,pertencer
normally,normalmente
ought,deveria
till,até
participant,participante
comparison,comparação
belief,crença
dangerous,perigoso
representative,representante
signal,sinal
fashion,moda
technical,técnico
interaction,interação
deny,negar
friendly,amigáveis
previously,anteriormente
participate,participar
danger,perigo
gold,ouro
occasion,ocasião
square,quadrado
leadership,Liderança
gift,Presente
mobile,Móvel
shoe,sapato
border,fronteira
label,etiqueta
load,carga
prison,prisão
wood,Madeira
ad,de Anúncios
suitable,adequado
internal,interno
west,Oeste
affair,caso
cup,copo
outcome,resultado
discount,desconto
ignore,ignorar
suspect,suspeito
citizen,cidadão
definition,definição
arrest,prender prisão
largely,largamente
desk,escrivaninha
destroy,destruir
hall,corredor
investigate,investigar
familiar,familiar
loan,empréstimo
remind,lembrar
explore,explorar
tea,chá
index,índice
recommendation,recomendação
complain,reclamar
hi,Oi
poll,votação
wed,Casar
escape,fuga
switch,chave
fairly,com justiça
lovely,amável
permit,permitir
dad,Papai
import,importar
association,Associação
bright,brilhante
predict,prever
division,divisão
debt,dívida
shout,gritar
device,dispositivo
wake,acordar
proper,apropriado
definitely,com certeza
analyze,analisar
necessarily,necessariamente
victim,vítima
commission,comissão
amaze,surpreender
employment,emprego
combination,combinação
conservative,conservador
guarantee,garantia
rank,classificação
protection,proteção
mouse,mouse
nevertheless,mesmo assim
abuse,Abuso
researcher,investigador
yield,colheita
root,raiz
secure,seguro
elect,eleger
chain,cadeia
forest,floresta
arise,surgir
confidence,confiança
frame,quadro
shot,tomada
identity,identidade
afford,dispor
birth,aniversário
tie,amarrar
brand,marca
instrument,instrumento
hole,buraco
grade,grau
threaten,ameaçar
hire,contratar
moral,moral
phase,Estágio
latter,último
typical,típica
approve,aprovar
strongly,fortemente
factory,fábrica
channel,canal
judgment,julgamento
proportion,proporção
concentration,concentração
resident,residente
empty,vazio
opposition,oposição
selection,seleção
entirely,inteiramente
session,sessão
sexual,sexual
ice,gelo
master,mestre
narrow,estreito
graduate,diplomado
increasingly,cada vez mais
insist,insistir
license,licença
bridge,Ponte
concentrate,concentrado
plenty,bastante
entry,entrada
reduction,redução
farmer,agricultor
respectively,respectivamente
notion,noção
rent,renda
odd,ímpar
appearance,aparência
musical,musical
bore,calibre
faithfully,fielmente
reasonable,razoável
rely,contar com
presidential,presidencial
sequence,seqüência
soft,suave
stretch,alongamento
considerable,considerável
fuel,combustível
atmosphere,atmosfera
bottle,garrafa
unique,único
practical,prático
presentation,apresentação
theme,tema
hell,inferno
lock,trancar
prior,prévio
secondly,Em segundo lugar
peak,pico
mechanism,mecanismo
explanation,explicação
mail,correspondência
nowadays,nos dias de hoje
native,nativo
succeed,ter sucesso
cast,elencar
wild,selvagem
folk,folk
ear,orelha
intelligence,inteligência
sheet,Folha
journey,jornada
tiny,muito pequeno
terrible,Terrível
online,conectados
multiple,múltiplo
declare,declarar
engine,motor
chairman,presidente
besides,além do mais
mental,mental
specifically,especificamente
relief,alívio
professor,professor
yard,Jardim
celebrate,comemoro
personality,personalidade
construct,construir
joint,articulação
row,fileira
via,através da
capture,capturar
justice,justiça
constant,constante
youth,Juventude
coast,costa
expectation,expectativa
witness,testemunha
blame,culpa
tone,tom
seriously,a sério
honor,honra
ourselves,nós mesmos
electronic,eletrônico
dealer,distribuidor
disk,disco
northern,norte
chemical,químico
somehow,de alguma maneira
hill,Colina
sky,céu
fruit,fruta
fellow,amigo
guard,guarda
vision,visão
impose,impor
reserve,reserva
chart,gráfico
surely,certamente
thin,afinar
minimum,mínimo
variation,variação
formal,formal
frequently,freqüentemente
verb,verbo
acquisition,aquisição
retire,se aposentar
recover,recuperar
seed,semente
tip,gorjeta
instruction,instrução
mission,missão
absence,ausência
fat,gordura
east,leste
derive,derivar
ordinary,comum
critic,crítico
helpful,útil
gene,gene
anywhere,qualquer lugar
lean,magro
glance,olhar
ideal,ideal
neighborhood,vizinhança
smell,cheiro
silence,silêncio
disappear,desaparecer
lip,lábio
cat,gato
passenger,passageiro
compete,competir
representation,representação
rush,correr
shut,fechar
disorder,transtorno
maximum,máximo
complaint,reclamação
careful,cuidadoso
column,coluna
religion,religião
legislation,legislação
employer,Empregador
widely,largamente
protest,protesto
ancient,antigo
illustrate,ilustrar
faith,fé
observation,observação
command,comando
reject,rejeitar
imply,implicar
ban,banimento
implement,implemento
approximately,aproximadamente
qualify,qualificar
somewhat,de alguma forma
regional,regional
assumption,suposição
temporary,temporário
attractive,atraente
plate,placa
sad,triste
frequency,frequência
weak,fraco
slip,escorregar
victory,vitória
circle,círculo
academic,Acadêmico
joke,Piada
county,município
hat,chapéu
steal,roubar
dozen,dúzia
kick,pontapé
unable,incapaz
settlement,assentamento
accommodation,alojamento
symptom,sintoma
reporter,repórter
household,doméstico
tennis,tênis
merely,apenas
emotion,emoção
tall,alto
sick,doente
calculate,calcular
scientific,científico
accuse,acusar
criminal,Criminoso
estate,Estado
unlike,diferente
underlie,subjacente
interpretation,interpretação
corporation,corporação
criterion,critério
appoint,nomear
enemy,inimigo
beside,ao lado
firstly,em primeiro lugar
assistant,assistente
sweet,doce
competitive,competitivo
consistent,consistente
closely,de perto
equally,igualmente
advise,Conselho
liberal,liberal
meanwhile,Enquanto isso
impression,impressão
existence,existência
exhibition,exibição
accompany,acompanhar
output,saída
salary,salário
attach,anexar
acknowledge,reconhecer
snow,neve
properly,devidamente
breast,seio
prime,melhor
ill,doente
reward,recompensa
bother,irmão
primarily,principalmente
gray,cinzento
childhood,infância
expose,expor
everywhere,em toda parte
intention,intenção
discipline,disciplina
medicine,remédio
input,entrada
differ,diferem
politician,político
wage,remuneração
implication,implicação
substantial,substancial
adviser,conselheiro
permanent,permanente
infant,infantil
rare,cru
angry,nervoso
remark,observação
alive,vivo
injury,prejuízo
pocket,bolso
knock,bater
producer,produtor
currency,moeda
manufacturer,fabricante
king,Rei
obligation,obrigação
initiative,iniciativa
talent,talento
breakfast,café da manhã
resolution,resolução
emotional,emocional
enhance,realçar
core,testemunho
framework,estrutura
phrase,frase
gap,Gap = Vão
southern,sulista
storm,tempestade
undertake,empreender
distinguish,distinguir
priority,prioridade
draft,rascunho
democracy,democracia
pursue,perseguir
urge,impulso
pilot,piloto
shirt,camisa
coat,casaco
lake,Lago
habit,hábito
emphasize,enfatizar
neck,pescoço
immediate,imediato
yellow,amarelo
sir,senhor
communicate,comunicar
breathe,respirar
vast,grande
origin,origem
stable,estábulo
enormous,enorme
negotiation,negociação
resolve,resolver
terrorist,terrorista
bloody,sangrento
retain,reter
bone,osso
mathematics,matemática
supplier,fornecedor
milk,leite
panel,painel
passage,passagem
fundamental,fundamental
pupil,aluno
publication,publicação
winner,vencedora
gentleman,cavalheiro
elsewhere,em outro lugar
examination,exame
soul,alma
forth,para frente
urban,urbano
contemporary,contemporâneo
incident,incidente
integrate,integrar
swing,balanço
ratio,Razão
borrow,pedir emprestado
sufficient,suficiente
motion,movimento
exam,exame
boss,patrão
governor,governador
effectively,efetivamente
diet,dieta
install,instalar
premise,premissa
abroad,fora do país
hence,portanto
metal,metal
convention,convenção
layer,camada
typically,tipicamente
grateful,grato
crash,batida
incorporate,incorporar
formation,formação
classic,clássico
aircraft,Aeronaves
sharp,afiado
highlight,realçar
climate,clima
disappoint,desapontar
defeat,derrota
retirement,aposentadoria
defend,defender
truly,verdadeiramente
self,auto
clinical,clínico
nearby,próximo
distribute,distribuir
reputation,reputação
creation,criação
exclude,excluir
exhibit,Exibir
specify,especificamos
extreme,extremo
appointment,compromisso
slide,deslizar
lucky,por sorte
brown,marrom
